Time (h),OD600 (-),[Glucose] (g/L),[Xylose] (g/L),trajectory_id
24.0,0.2924,14.5299,16.6211,1:1_0000
24.0,0.2772,14.3873,16.7949,1:1_0000
24.0,0.2689,14.4647,16.639,1:1_0000
32.333,0.2943,14.4677,16.6642,1:1_0000
32.333,0.2628,14.5364,16.7436,1:1_0000
32.333,0.2781,14.5263,16.9212,1:1_0000
48.0,0.2617,14.432,16.6257,1:1_0000
48.0,0.2822,14.5961,16.6957,1:1_0000
48.0,0.2531,14.4007,16.7721,1:1_0000
55.5,1.1521,8.2189,16.4999,1:1_0000
55.5,1.1419,8.1762,16.5883,1:1_0000
55.5,1.1547,8.1869,16.6343,1:1_0000
72.0,2.5196,0.0289,0.0631,1:1_0000
72.0,2.4891,0.0,0.0,1:1_0000
72.0,2.5055,0.0,0.1495,1:1_0000
80.0,2.5009,0.0968,0.0,1:1_0000
80.0,2.5116,0.0163,0.0586,1:1_0000
80.0,2.5325,0.0793,0.0,1:1_0000
96.0,2.509,0.0858,0.0,1:1_0000
96.0,2.4927,0.0,0.0,1:1_0000
96.0,2.5282,0.0142,0.069,1:1_0000
104.0,2.5097,0.0159,0.0626,1:1_0000
104.0,2.5121,0.0457,0.0,1:1_0000
104.0,2.511,0.0,0.0,1:1_0000
120.0,2.528,0.0,0.0012,1:1_0000
120.0,2.5279,0.0447,0.0665,1:1_0000
120.0,2.5163,0.0,0.0,1:1_0000
128.0,2.4845,0.0,0.0,1:1_0000
128.0,2.4983,0.04,0.0,1:1_0000
128.0,2.5107,0.1299,0.0,1:1_0000
144.0,2.533,0.0,0.0,1:1_0000
144.0,2.4993,0.0,0.084,1:1_0000
144.0,2.4837,0.0434,0.0238,1:1_0000
24.0,0.2137,15.285,15.3312,1:1_0001
24.0,0.208,15.3981,15.5092,1:1_0001
24.0,0.2691,15.5545,15.4423,1:1_0001
32.333,0.2373,15.4032,15.5101,1:1_0001
32.333,0.234,15.5059,15.5046,1:1_0001
32.333,0.2516,15.3298,15.5392,1:1_0001
48.0,0.2823,15.4663,15.6818,1:1_0001
48.0,0.2322,15.502,15.5328,1:1_0001
48.0,0.2269,15.366,15.5815,1:1_0001
55.5,0.2771,11.7278,15.5526,1:1_0001
55.5,0.3015,11.6326,15.4895,1:1_0001
55.5,0.288,11.7548,15.261,1:1_0001
72.0,0.4782,0.514,12.9048,1:1_0001
72.0,0.5122,0.8026,12.9824,1:1_0001
72.0,0.4549,0.4166,13.0,1:1_0001
80.0,0.593,0.1004,7.6965,1:1_0001
80.0,0.5539,0.0,7.7227,1:1_0001
80.0,0.5466,0.0483,7.8315,1:1_0001
96.0,0.6158,0.0669,0.6828,1:1_0001
96.0,0.6269,0.163,0.6547,1:1_0001
96.0,0.5911,0.1337,0.7326,1:1_0001
104.0,0.6421,0.0,0.3186,1:1_0001
104.0,0.6166,0.0258,0.3296,1:1_0001
104.0,0.6068,0.0,0.1282,1:1_0001
120.0,0.6245,0.0,0.0722,1:1_0001
120.0,0.6047,0.1148,0.0,1:1_0001
120.0,0.5997,0.0,0.0,1:1_0001
128.0,0.6205,0.0,0.0,1:1_0001
128.0,0.6123,0.0203,0.0,1:1_0001
128.0,0.6297,0.0663,0.0403,1:1_0001
144.0,0.6267,0.0296,0.2036,1:1_0001
144.0,0.6138,0.0,0.0,1:1_0001
144.0,0.5949,0.0,0.0,1:1_0001
24.0,0.1891,15.4129,12.8838,1:1_0002
24.0,0.2338,15.5187,13.004,1:1_0002
24.0,0.2143,15.1529,12.9136,1:1_0002
32.333,0.2012,15.2867,13.1007,1:1_0002
32.333,0.247,15.2762,12.9455,1:1_0002
32.333,0.2118,15.555,12.907,1:1_0002
48.0,0.2121,15.576,12.8641,1:1_0002
48.0,0.1815,15.3515,12.9772,1:1_0002
48.0,0.2233,15.4181,12.8518,1:1_0002
55.5,0.5094,13.9471,13.1368,1:1_0002
55.5,0.4865,13.9412,13.0635,1:1_0002
55.5,0.5143,14.0496,12.8408,1:1_0002
72.0,2.6064,0.0,0.0235,1:1_0002
72.0,2.5671,0.0446,0.0,1:1_0002
72.0,2.57,0.0714,0.0242,1:1_0002
80.0,2.5833,0.1451,0.0,1:1_0002
80.0,2.5963,0.0269,0.0,1:1_0002
80.0,2.605,0.0,0.0,1:1_0002
96.0,2.6229,0.0,0.0,1:1_0002
96.0,2.6278,0.2549,0.0,1:1_0002
96.0,2.5569,0.0,0.0,1:1_0002
104.0,2.5918,0.0,0.058,1:1_0002
104.0,2.6061,0.0,0.0699,1:1_0002
104.0,2.6367,0.0172,0.0,1:1_0002
120.0,2.5928,0.0615,0.0,1:1_0002
120.0,2.5989,0.0,0.1848,1:1_0002
120.0,2.5921,0.1668,0.0,1:1_0002
128.0,2.6074,0.0319,0.0,1:1_0002
128.0,2.5992,0.1213,0.0,1:1_0002
128.0,2.5618,0.0,0.0,1:1_0002
144.0,2.5888,0.0,0.0,1:1_0002
144.0,2.5633,0.0482,0.0,1:1_0002
144.0,2.5443,0.0785,0.0272,1:1_0002
24.0,0.2663,14.8571,17.0579,1:1_0003
24.0,0.305,14.8591,16.9363,1:1_0003
24.0,0.2813,14.8805,17.074,1:1_0003
32.333,0.23,14.8224,16.9006,1:1_0003
32.333,0.2286,14.8087,16.8873,1:1_0003
32.333,0.271,15.0163,16.9543,1:1_0003
48.0,0.2544,14.8993,17.0837,1:1_0003
48.0,0.2555,14.814,17.0347,1:1_0003
48.0,0.2706,14.9698,16.9774,1:1_0003
55.5,0.4869,14.2307,16.9726,1:1_0003
55.5,0.4687,14.2126,16.8175,1:1_0003
55.5,0.4866,14.2991,16.8716,1:1_0003
72.0,2.3128,1.4754,16.461,1:1_0003
72.0,2.2847,1.2704,16.8352,1:1_0003
