mu_max1,mu_max2,Ks1,Ks2,Yx1,Yx2,K_I,lag,S1_init,S2_init,X0,ratio,trajectory_id
0.4128028608767108,0.22141468408850187,0.1923254122376046,0.12333175200270705,0.287159062577368,0.30158737360888604,0.49747982637435667,50.0,14.483192096930324,16.707059955394406,0.21096628002016615,1:1,1:1_0000
0.16725197009321116,0.06334814416737014,12.88001807737394,15.600961749879303,0.024535804694042648,0.017043867444056095,0.6614360236199578,50.0,15.443950188146513,15.538516469673052,0.15295272414639255,1:1,1:1_0001
0.2970779054083149,0.12889453009546378,0.7349038035996162,0.7409913450208043,0.3272077744182717,0.3760344779507725,0.5822641881244699,50.0,15.393908766230947,13.029257825172063,0.11950552665020346,1:1,1:1_0002
0.16333675290428248,0.04820419670599702,0.1657207780152193,0.30019847427642254,0.5506911616304536,0.5806389021291266,0.47496081048371525,50.0,14.905029234346902,16.9788069957401,0.21864936924475603,1:1,1:1_0003
0.47831688497735364,0.22997870076847238,6.050204212164283,6.39433350911503,0.48984510563772166,0.5097558844048019,0.7382414160723894,14.640079795408523,13.482621349774746,16.584488329694523,0.07509891141245233,1:1,1:1_0004
0.21592990303965376,0.03431016043777678,0.08184228961045234,0.06520496101600598,0.6328559610693631,0.4257071835791661,0.3468432258982517,4.06260798238904,14.100610102406854,13.554617984933678,0.1208801916498073,1:1,1:1_0005
0.1135095183413144,0.017052924831373377,0.08525615983661093,0.14169026607336488,0.022892449174008452,0.02463660478138581,0.48523309965381806,5.848304663434299,16.443203894482146,16.29249843980038,0.1847354415660467,1:1,1:1_0006
0.04126473602755317,0.015356771964300006,2.107510723654407,2.257351662988298,0.3197680368851985,0.18854701076762276,0.5855805554207728,21.338229859192626,13.413133916428198,16.46457842532408,0.197332791531869,1:1,1:1_0007
0.19917872635173364,0.07779330248957504,0.6902808941335458,1.3378066794274723,0.8074516058387272,0.574288171259466,0.48362822726579985,5.831295422120345,16.743496408044322,16.349902975151107,0.07937609556315038,1:1,1:1_0008
0.024679949181970837,0.008457237089988297,0.12554581422066438,0.22401685827182233,0.6106786554802255,0.5885542050724998,0.6444440859874172,6.8478959897659735,14.483649286166678,14.700327070056524,0.2530307402967648,1:1,1:1_0009
