scenario,model,target,MAE,RMSE,R2
1,XGBoost,glucose,2.1049799282014368,2.68777839404044,0.8984476615400905
1,Linear,glucose,2.5112125390411864,2.916746391587137,0.8804084898695024
1,Naive Mean,glucose,8.175866666666668,8.454832717848292,-0.004877333282697016
1,XGBoost,xylose,2.2009875319957737,2.681158811753596,0.6682918390076205
1,Linear,xylose,2.3046060195322964,2.680832232912361,0.66837264158363
1,Naive Mean,xylose,4.184254940422323,4.728100184159231,-0.03153607062928021
2,XGBoost,glucose,2.093286726715388,3.053910716571495,0.8524797084584028
2,Linear,glucose,3.126646186629279,4.017043027411405,0.7447580480495006
2,Naive Mean,glucose,7.544453710869523,8.063854677484446,-0.028547789469809848
2,XGBoost,xylose,3.072089507844714,3.5625285954520822,0.4353508697030407
2,Linear,xylose,4.892411549108271,10.90921060689807,-4.294788265730292
2,Naive Mean,xylose,4.401064251445107,4.742289822439105,-0.0005484644978461795
3,XGBoost,glucose,2.069892189522584,3.0238030014214003,0.8553740989843703
3,Linear,glucose,35.658475733514315,101.63940443275882,-162.40423693407539
3,Naive Mean,glucose,7.544453710869523,8.063854677484446,-0.028547789469809848
3,XGBoost,xylose,2.5417600925410238,3.1310334378915146,0.5638485135368665
3,Linear,xylose,12.859014429298135,18.585244142624944,-14.367332446487183
3,Naive Mean,xylose,4.401064251445107,4.742289822439105,-0.0005484644978461795
4,XGBoost,glucose,1.8933986326720988,3.08259198251134,0.8049950575021703
4,Linear,glucose,4.3522898059863735,7.536294259995183,-0.16554548071092
4,Naive Mean,glucose,6.350752999689154,6.983532599852748,-0.0008381685424834195
4,XGBoost,xylose,3.2049954931788975,3.836225496563208,0.3460225352949142
4,Linear,xylose,9.27222665603705,11.816041487380657,-5.20438219326195
4,Naive Mean,xylose,4.400740170621352,4.758226043500606,-0.00610815189314029
5,XGBoost,glucose,2.2095616737378445,3.051118461283556,0.8691357107467663
5,Linear,glucose,3.210165112153186,4.220527774115864,0.7495987246003524
5,Naive Mean,glucose,8.175866666666668,8.45483271784829,-0.004877333282696794
5,XGBoost,xylose,3.1400136794726055,3.68585042909306,0.373116998470138
5,Linear,xylose,13.402775171804485,15.337919194254713,-9.855353464419988
5,Naive Mean,xylose,4.184254940422323,4.728100184159231,-0.03153607062928021
6,XGBoost,glucose,2.065239285288019,2.9075017161186802,0.8737748810473379
6,Linear,glucose,12.28972050763599,12.85958202012833,-1.469218571489419
6,Naive Mean,glucose,7.895525688069389,8.235821766919972,-0.012790707438937288
6,Last HPLC,glucose,1.4803070175438602,2.8243120191612947,0.8808946752451937
6,XGBoost,xylose,2.6838281313787427,3.284916395454242,0.5090376230126885
6,Linear,xylose,19.719580133508707,26.575093304936743,-31.132844128370884
6,Naive Mean,xylose,4.281448116184964,4.717089627881477,-0.012389955810435671
6,Last HPLC,xylose,1.2343508771929825,2.016052535169013,0.8150717494281697
